Topic,Assessment Marked,Date,Days Left,Page,Unit
Code - Configuration and Initialisation,No,"May 25, 2023 → June 1, 2023",91,"https://www.notion.so/89adb8d1bb5549319c8eb01e915e22b7 ",Building and Programming Circuits
Code - Configuration and Initialisation,No,"May 26, 2022 → May 27, 2022",-272,"https://www.notion.so/89adb8d1bb5549319c8eb01e915e22b7 ",Building and Programming Circuits
Computational Thinking,No,"February 6, 2023 → February 10, 2023",-16,,Building and Programming Circuits
Computational Thinking,No,"February 7, 2022 → February 11, 2022",-380,"https://www.notion.so/1d1eb31e58144c1eb37b7e5f7fd54bec ",Building and Programming Circuits
Data Structures,No,"March 6, 2023 → March 10, 2023",11,,Building and Programming Circuits
Data Structures,No,"February 28, 2022 → March 4, 2022",-359,"https://www.notion.so/51ff4a48765b4429a252e2cfd290c068 ",Building and Programming Circuits
Exam Preparation,No,"March 20, 2023",25,,Building and Programming Circuits
Flowcharts,No,"February 13, 2023 → February 17, 2023",-9,,Building and Programming Circuits
Implementation Phase Overview,No,"May 23, 2022",-275,,Building and Programming Circuits
Logic & Method Stubs,No,"May 31, 2022 → June 2, 2022",-267,"https://www.notion.so/43ad1d47b0084db386ec2837fbda4080 ",Building and Programming Circuits
Mathematical & Logic Operations,No,"February 7, 2022 → February 11, 2022",-380,"https://www.notion.so/8dffc9e4c7574c97ad5003e882b7dd7c ",Building and Programming Circuits
Modular Programming,No,"February 6, 2023 → February 10, 2023",-16,,Building and Programming Circuits
New Project,No,"March 14, 2023 → March 17, 2023",19,,Building and Programming Circuits
Programming Introduction,No,"January 30, 2023 → February 3, 2023",-23,,Building and Programming Circuits
Programming Introduction,No,"January 31, 2022 → February 4, 2022",-387,"https://www.notion.so/d911487c11194b1f87a1fbd72eeaaf60 ",Building and Programming Circuits
Programming Logic,No,"May 1, 2023 → May 12, 2023",67,"https://www.notion.so/8a95d3920e614e00b7a6dd1e9618b6ce ",Building and Programming Circuits
Programming Logic,No,"May 2, 2022 → May 13, 2022",-296,"https://www.notion.so/8a95d3920e614e00b7a6dd1e9618b6ce ",Building and Programming Circuits
Project 2 Theme,No,"March 29, 2022 → April 1, 2022",-330,"https://www.notion.so/c98ae95d1ba443ee9166e51fe160e88b ",Building and Programming Circuits
Smart Device Theme,No,"March 27, 2023 → March 31, 2023",32,"https://www.notion.so/c98ae95d1ba443ee9166e51fe160e88b ",Building and Programming Circuits
Stub Implementation,No,"June 2, 2023 → June 7, 2023",99,"https://www.notion.so/7a4adf8c5c864576b87c0866b4407e48 ",Building and Programming Circuits
Stub Implementation,No,"June 2, 2022 → June 7, 2022",-265,"https://www.notion.so/7a4adf8c5c864576b87c0866b4407e48 ",Building and Programming Circuits
Style Guide,No,"February 20, 2023 → February 20, 2023",-2,,Building and Programming Circuits
Variables and Data Types,No,"February 13, 2023 → February 17, 2023",-9,,Building and Programming Circuits
Version Control,No,"February 6, 2023 → February 10, 2023",-16,,Building and Programming Circuits
Version Control,No,"February 7, 2022 → February 11, 2022",-380,"https://www.notion.so/1d05e8de11834d7282144d2069658137 ",Building and Programming Circuits
Wiring,No,"May 23, 2022 → May 26, 2022",-275,,Building and Programming Circuits
Wiring,No,"May 22, 2023 → May 24, 2023",88,,Building and Programming Circuits
Wiring Diagram,No,"April 24, 2023 → April 28, 2023",60,"https://www.notion.so/f594431b4e4444b498d27c05be989414 ",Building and Programming Circuits
Wiring Diagram,No,"April 26, 2022 → April 29, 2022",-302,"https://www.notion.so/f594431b4e4444b498d27c05be989414 ",Building and Programming Circuits
Analysis & Design Documentation,No,"August 1, 2022 → August 16, 2022",-205,,Robotics and Mechatronics
Arduino Code Focus,No,"October 10, 2022 → October 14, 2022",-135,,Robotics and Mechatronics
Arduino Module Code Development,No,"August 25, 2022 → September 16, 2022",-181,,Robotics and Mechatronics
Assessment 1 Due,Yes,"August 16, 2022",-190,,"Assessment Due Date, Robotics and Mechatronics"
Assessment 2 Due - Prototype,Yes,"October 20, 2022",-125,,"Assessment Due Date, Robotics and Mechatronics"
Assessment 3 Due - Final Version,Yes,"November 14, 2022",-100,,"Assessment Due Date, Robotics and Mechatronics"
Check Unit Outline,No,"July 28, 2022",-209,,"Digital Application - ISD, Independent Study - ISD, Robotics and Mechatronics"
Code Deployment,No,"July 28, 2022",-209,,Robotics and Mechatronics
Development Log 2,No,"October 17, 2022",-128,,Robotics and Mechatronics
Evaluation,No,"November 3, 2022 → November 3, 2022",-111,,Robotics and Mechatronics
Feedback And Updates,No,"October 10, 2022 → October 14, 2022",-135,,Robotics and Mechatronics
Finalise Code & Documentation,No,"October 17, 2022 → October 20, 2022",-128,,Robotics and Mechatronics
Finalise Project & Documentation,No,"November 7, 2022 → November 11, 2022",-107,,Robotics and Mechatronics
ICTICT213 - Preparation,No,"August 8, 2022",-198,,"Digital Application - ISD, Digital Applications - Web, Independent Study - ISD, Robotics and Mechatronics"
Identify Development Goals,No,"August 22, 2022 → August 23, 2022",-184,,Robotics and Mechatronics
Project Brainstorming,No,"July 19, 2022 → July 26, 2022",-218,,Robotics and Mechatronics
Project Improvements,No,"October 24, 2022 → November 4, 2022",-121,,Robotics and Mechatronics
Repository Cloning and Arduino IDE Configuration,No,"July 21, 2022 → July 21, 2022",-216,,Robotics and Mechatronics
RMS Project Overview,No,"July 18, 2022 → July 18, 2022",-219,,Robotics and Mechatronics
User Functionality,No,"August 1, 2022",-205,,Robotics and Mechatronics
User testing,No,"October 18, 2022 → October 20, 2022",-127,,Robotics and Mechatronics
Website Focus,No,"September 19, 2022 → October 14, 2022",-156,,Robotics and Mechatronics
Wiring,No,"August 22, 2022 → August 23, 2022",-184,,Robotics and Mechatronics
Arduino Posting Data,No,"February 27, 2023 → February 27, 2023",4,,Application Of Robotics
Arduino Posting Data,No,"February 20, 2023 → February 20, 2023",-2,,Application Of Robotics
Assessment 1,No,"February 23, 2023",1,,"Application Of Robotics, Assessment Due Date"
Assessment 1,No,"February 28, 2022 → March 11, 2022",-359,"https://www.notion.so/13d074d904e04e40a186101ef8afd3e7 ",Application Of Robotics
Assessment 2,No,"April 3, 2023 → April 6, 2023",39,,"Application Of Robotics, Assessment Due Date"
Assessment 3 Due,No,"June 9, 2023",106,,"Application Of Robotics, Assessment Due Date"
Brainstorming,No,"February 1, 2023 → February 3, 2023",-21,,Application Of Robotics
Component Testing,No,"February 14, 2022 → February 18, 2022",-373,"https://www.notion.so/3976264d496c4bbd9720145dab082d9d ",Application Of Robotics
Cyber Security Topics,No,"January 31, 2022 → February 4, 2022",-387,"https://www.notion.so/435c20b1f78e489180c855e51ed9c011 ",Application Of Robotics
Draft Video Viewing,No,"June 8, 2022",-259,,Application Of Robotics
Game Run Through,No,"May 6, 2022",-292,,Application Of Robotics
Module Functionality,No,"March 28, 2022 → April 1, 2022",-331,"https://www.notion.so/11b121e289154de3b047e0d1de74c29e ",Application Of Robotics
PHP & MySQL Crash Course,No,"February 6, 2023 → February 17, 2023",-16,,Application Of Robotics
Project Finalisation,No,"March 6, 2023 → March 10, 2023",11,,Application Of Robotics
Project Overview & Configuration,No,"January 31, 2023 → February 3, 2023",-22,,Application Of Robotics
Project Planning Session,No,"February 16, 2023",-6,,Application Of Robotics
Receiving Instructions,No,"March 2, 2023 → March 3, 2023",7,,Application Of Robotics
Security Vulnerability Implementation,No,"April 26, 2022 → April 29, 2022",-302,"https://www.notion.so/ddff6d49f0e94a05954c39bf8faa3741 ",Application Of Robotics
Show Images in Webpage on Arduino,No,"April 6, 2022",-322,"https://www.notion.so/4fdbc30af62e4bac945dcbc4523ee60a ",Application Of Robotics
"🔴 Assessment - Tutorial - Media Collection ",No,"May 30, 2022 → June 1, 2022",-268,"https://www.notion.so/6ae460ec08e042e1b2805393b238cf08 ",Application Of Robotics
🔴 Assessment - Tutorial - Planning,No,"May 23, 2022 → May 27, 2022",-275,,Application Of Robotics
🔴 Assessment - Tutorial - Production,No,"June 1, 2022 → June 15, 2022",-266,"https://www.notion.so/e06033a50cae47049841b4da2a56e1f2 ",Application Of Robotics
🔴 Assessment 2 - Project Part A,No,"April 4, 2022 → April 8, 2022",-324,"https://www.notion.so/061cd828ebce4cca80af801cb1c53daf ",Application Of Robotics
🔴 Assessment 3 - Implementation Part B Finalisation,No,"May 13, 2022 → May 20, 2022",-285,"https://www.notion.so/c184fd39209f40f288ef610575f154cd ",Application Of Robotics
🔴 Game Play Implementation,No,"May 2, 2022 → May 11, 2022",-296,"https://www.notion.so/9f06c9eab3fe43e1a0385380b19f3094 ",Application Of Robotics
🔴 Project Plan & Evaluation Checklist,No,"February 21, 2022 → February 25, 2022",-366,"https://www.notion.so/b2db00ec258f4efda205d064de01d2b8 ",Application Of Robotics
🔴 Project Theme,No,"January 31, 2022 → February 4, 2022",-387,"https://www.notion.so/ae088794b2d34f4185e70e8893acc27f ",Application Of Robotics
🔴 Web & Arduino Interactivity,No,"March 21, 2022 → March 25, 2022",-338,"https://www.notion.so/af81276c975446729cc10d488f52c690 ",Application Of Robotics
🔴 Web Front-End,No,"February 14, 2022 → February 18, 2022",-373,"https://www.notion.so/795addbdd85e4fa48ac611e0b866646b ",Application Of Robotics
🔴 Website Development,No,"March 15, 2022 → March 18, 2022",-344,"https://www.notion.so/453a9f190f4c4d39addddeb1a3db02b8 ",Application Of Robotics
🔴 Wiring and Logic Planning,No,"February 7, 2022 → February 11, 2022",-380,"https://www.notion.so/8942b8fefbe34032b475575e0c4a5885 ",Application Of Robotics
Analysis and Design Documentation,No,"August 8, 2022 → August 18, 2022",-198,,Independent Study - Robotics
Assessment 1 Analysis and Design Due,Yes,"August 19, 2022",-187,,"Assessment Due Date, Independent Study - Robotics"
Assessment 2 Part A Due,No,"September 2, 2022",-173,,"Digital Application - ISD, Digital Applications - Web, Independent Study - ISD, Independent Study - Robotics, Robotics and Mechatronics"
Assessment 2 Prototype Due,Yes,"October 21, 2022",-124,,"Assessment Due Date, Independent Study - Robotics"
Assessment 3 Final Version & Evaluation Due,Yes,"November 14, 2022",-100,,"Assessment Due Date, Independent Study - Robotics"
Capture The Flag (CTF) Analysis,No,"July 18, 2022 → July 22, 2022",-219,,Independent Study - Robotics
Compare and Contrast CTF Games,No,"July 25, 2022 → July 27, 2022",-212,,Independent Study - Robotics
CTF Design,No,"August 1, 2022 → August 3, 2022",-205,,Independent Study - Robotics
Development Goals,No,"August 24, 2022 → August 26, 2022",-182,,Independent Study - Robotics
Development Sprint,No,"October 10, 2022 → October 14, 2022",-135,,Independent Study - Robotics
Development Sprint,No,"October 24, 2022 → November 4, 2022",-121,,Independent Study - Robotics
Documentation,No,"October 17, 2022 → October 21, 2022",-128,,Independent Study - Robotics
Easy Win Goals Completion,No,"September 23, 2022",-152,,Independent Study - Robotics
End of Unit Survey,No,"November 2, 2022 → November 4, 2022",-112,,"Digital Application - ISD, Digital Applications - Web, Independent Study - ISD, Independent Study - Robotics, Robotics and Mechatronics"
Evaluation,No,"November 7, 2022 → November 11, 2022",-107,,Independent Study - Robotics
External User Testing,No,"October 14, 2022 10:30 AM → October 14, 2022 11:00 AM",-130,,Independent Study - Robotics
Finalising ICTICT213,No,"August 26, 2022",-180,,Independent Study - Robotics
ICTICT213 Use computer operating systems and hardware,No,"July 29, 2022",-208,,Independent Study - Robotics
Identify & Prioritise Development Goals,No,"August 22, 2022 → August 22, 2022",-184,,Independent Study - Robotics
Identify Future Development Goals,No,"September 21, 2022",-154,,Independent Study - Robotics
Prototype Development Sprint,No,"August 29, 2022 → September 15, 2022",-177,,Independent Study - Robotics
Prototype Feedback Analysis,No,"September 19, 2022",-156,,Independent Study - Robotics
Prototype Presentation,No,"September 16, 2022",-159,,Independent Study - Robotics
Prototype Presentation,No,"October 24, 2022",-121,,Independent Study - Robotics
Remote Development Planning,No,"July 29, 2022",-208,,Independent Study - Robotics
Algorithm Design - Decisions,No,"February 13, 2023 → February 17, 2023",-9,,Digital Assets - ISD
Algorithm Design - Decisions,No,"February 14, 2022 → February 18, 2022",-373,"https://www.notion.so/719fe391fe3845bc85f3efaf21fe7775 ",Digital Assets - ISD
Algorithm Design - Loops,No,"February 27, 2023 → March 3, 2023",4,,Digital Assets - ISD
Algorithm Design - Loops,No,"February 21, 2022 → February 25, 2022",-366,"https://www.notion.so/3cfb3455b838428a93e8754e323c3bee ",Digital Assets - ISD
Algorithm Design - Modularisation,No,"February 21, 2022 → February 25, 2022",-366,"https://www.notion.so/2714f1aa9307442e8ddec537f64eee04 ",Digital Assets - ISD
Algorithm Design - Sequences,No,"February 13, 2023 → February 17, 2023",-9,,Digital Assets - ISD
Algorithm Design - Sequences,No,"February 14, 2022 → February 18, 2022",-373,"https://www.notion.so/5e9c1da0b66d401c83b440be9703de16 ",Digital Assets - ISD
Assessment - Project,No,"March 7, 2022 → March 25, 2022",-352,"https://www.notion.so/6a841881dad04b4ab4b5c2ec857f324b ",Digital Assets - ISD
Assessment - Project 2 Part A,No,"May 16, 2022 → May 20, 2022",-282,"https://www.notion.so/91ef7260295747b8861994e84f9a3f7b ",Digital Assets - ISD
Assessment - Project 2 Part B,No,"June 6, 2022 → June 10, 2022",-261,"https://www.notion.so/e81c2c869a934f92b67d7742ec067881 ",Digital Assets - ISD
Assessment 1 - Pitch,No,"February 22, 2023 → February 22, 2023",0,,"Assessment Due Date, Digital Assets - ISD"
Assessment 2 - Theory Exam,No,"March 22, 2023",27,,"Assessment Due Date, Digital Assets - ISD"
Assessment 3 Due,No,"June 7, 2023",104,,"Assessment Due Date, Digital Assets - ISD"
Computational Thinking,No,"February 6, 2023 → February 10, 2023",-16,,Digital Assets - ISD
Computational Thinking,No,"February 7, 2022 → February 11, 2022",-380,"https://www.notion.so/7925beac27df44dd88028feb08d7cced ",Digital Assets - ISD
Data Structures,No,"March 6, 2023 → March 10, 2023",11,,Digital Assets - ISD
Data Structures,No,"February 28, 2022 → March 4, 2022",-359,"https://www.notion.so/27add067083946798c2561842d0d7912 ",Digital Assets - ISD
Enemies,No,"April 26, 2022 → April 29, 2022",-302,"https://www.notion.so/921e953ac63b4989943ca556aa20484a ",Digital Assets - ISD
Flowcharts,No,"February 13, 2023 → February 17, 2023",-9,,Digital Assets - ISD
Game Design,No,"February 20, 2023",-2,,Digital Assets - ISD
High Score System,No,"May 9, 2022 → May 13, 2022",-289,"https://www.notion.so/7867c62448894606bb7d97a84cdeea16 ",Digital Assets - ISD
Mathematical & Logic Operations,No,"February 7, 2022 → February 11, 2022",-380,"https://www.notion.so/4c92bfac252c45e58c393c6d79e1f36b ",Digital Assets - ISD
Media Collection,No,"May 26, 2022 → May 31, 2022",-272,"https://www.notion.so/6ae460ec08e042e1b2805393b238cf08 ",Digital Assets - ISD
Modular Programming,No,"February 6, 2023 → February 10, 2023",-16,,Digital Assets - ISD
Options Implementation,No,"May 2, 2022 → May 6, 2022",-296,"https://www.notion.so/b3a1ac09ab4c4f85afe2c3fc56eae15f ",Digital Assets - ISD
Presentation - Planning,No,"May 23, 2022 → May 26, 2022",-275,"https://www.notion.so/f9078791366a469a919bad3b283151f0 ",Digital Assets - ISD
Programming Introduction,No,"January 30, 2023 → February 3, 2023",-23,,Digital Assets - ISD
Programming Introduction,No,"January 31, 2022 → February 4, 2022",-387,"https://www.notion.so/32c6c5d8687a41beb30b7e0707b75c6f ",Digital Assets - ISD
Project Finalisation,No,"May 9, 2022 → May 13, 2022",-289,"https://www.notion.so/05fe1ddf626c49ec8b80b2472528af70 ",Digital Assets - ISD
Software Installation & Configuration,No,"February 1, 2022 → February 4, 2022",-386,,"Digital Assets - ISD, Digital Assets - Web Development"
Style Guide,No,"February 27, 2023 → March 3, 2023",4,,Digital Assets - ISD
User Experience Updates,No,"April 4, 2022 → April 8, 2022",-324,"https://www.notion.so/abcf759b8d0a487cbdb8ad25d380d6c0 ",Digital Assets - ISD
User Interface Improvements,No,"March 29, 2022 → April 1, 2022",-330,"https://www.notion.so/1964235ba3144accac3ef646d1e84407 ",Digital Assets - ISD
Variables and Data Types,No,"February 13, 2023 → February 17, 2023",-9,,Digital Assets - ISD
Version Control,No,"February 6, 2023 → February 10, 2023",-16,,Digital Assets - ISD
Version Control,No,"February 7, 2022 → February 11, 2022",-380,"https://www.notion.so/d8f2b29dbb1243f7be21c1ae55005bcb ",Digital Assets - ISD
"Video Production ",No,"May 31, 2022 → June 3, 2022",-267,"https://www.notion.so/e06033a50cae47049841b4da2a56e1f2 ",Digital Assets - ISD
Win / Lose Conditions,No,"May 2, 2022 → May 6, 2022",-296,"https://www.notion.so/e8fa312ca8ef4851a1bbf1dfbd2c924e ",Digital Assets - ISD
3D Worlds,No,"August 2, 2022",-204,,Digital Application - ISD
Assessment 1 Due - Game Design Document,Yes,"August 12, 2022",-194,,"Assessment Due Date, Digital Application - ISD"
Assessment 2 Due - Prototype,Yes,"October 21, 2022",-124,,"Assessment Due Date, Digital Application - ISD"
Assessment 3 Due - Final,Yes,"November 14, 2022",-100,,"Assessment Due Date, Digital Application - ISD"
Development Log 1,No,"September 15, 2022",-160,,Digital Application - ISD
Development Log 2,No,"October 20, 2022",-125,,Digital Application - ISD
Development Stage 2,No,"October 10, 2022 → October 21, 2022",-135,,Digital Application - ISD
"Enemies, Navmesh & Health",No,"September 13, 2022 → September 16, 2022",-162,,Digital Application - ISD
Evaluate Your Game,No,"November 7, 2022 → November 11, 2022",-107,,Digital Application - ISD
Final Development,No,"October 24, 2022 → November 4, 2022",-121,,Digital Application - ISD
FPS Breakdown,No,"July 18, 2022 → July 22, 2022",-219,,Digital Application - ISD
Game Design Documents,No,"July 25, 2022 → July 26, 2022",-212,,Digital Application - ISD
Game Play Development,No,"August 29, 2022 → September 8, 2022",-177,,Digital Application - ISD
Game Presentations,No,"November 15, 2022 → November 15, 2022",-99,,Digital Application - ISD
GDD Finalisation,No,"August 9, 2022",-197,,Digital Application - ISD
